method,microbatches_task_1,microbatches_task_2,microbatches_task_3,adamw_theory_variance_ratio,adamw_empirical_variance_ratio,predicted_time_ratio,cost_theory_ratio,cost_empirical_ratio,seed,trials,total_microbatches,minimum_microbatches,maximum_microbatches,raw_noise_scale_task_1,adamw_noise_scale_task_1,metric_diagonal_task_1,cost_task_1,raw_noise_scale_task_2,adamw_noise_scale_task_2,metric_diagonal_task_2,cost_task_2,raw_noise_scale_task_3,adamw_noise_scale_task_3,metric_diagonal_task_3,cost_task_3
Uniform,6,5,5,1.0,1.0,1.0,1.0,1.0,20260902,20000,16,2,12,0.7652593561149718,0.1740545215177264,0.22744514016967685,0.8652444749092914,0.19230656846142996,0.1969024054681955,1.0238984920979821,0.3460977899637165,0.04243407542359844,0.6290430730140781,14.824007987322721,1.730488949818583
Raw-Noise,11,3,2,2.322382346855971,2.315749490790973,0.8999999999999999,2.0901441121703734,2.0841745417118753,20260902,20000,16,2,12,0.7652593561149718,0.1740545215177264,0.22744514016967685,0.8652444749092914,0.19230656846142996,0.1969024054681955,1.0238984920979821,0.3460977899637165,0.04243407542359844,0.6290430730140781,14.824007987322721,1.730488949818583
GPAS,3,3,10,0.6807677789003544,0.6793247518808485,1.3444444444444446,0.9152544582993655,0.9133143886398075,20260902,20000,16,2,12,0.7652593561149718,0.1740545215177264,0.22744514016967685,0.8652444749092914,0.19230656846142996,0.1969024054681955,1.0238984920979821,0.3460977899637165,0.04243407542359844,0.6290430730140781,14.824007987322721,1.730488949818583
Cost-GPAS,3,5,8,0.7321366423326083,0.7344506616590822,1.1666666666666665,0.8541594160547096,0.8568591052689292,20260902,20000,16,2,12,0.7652593561149718,0.1740545215177264,0.22744514016967685,0.8652444749092914,0.19230656846142996,0.1969024054681955,1.0238984920979821,0.3460977899637165,0.04243407542359844,0.6290430730140781,14.824007987322721,1.730488949818583
