job,kind,state,source,left,right,threshold,gradient_cosine,bf16_cosine,bf16_l2_difference,left_count,right_count,intersection,union,jaccard,layer_random_ratio,fixed_0.0001_defined,fixed_0.0001_count,fixed_0.0001_jaccard,fixed_0.0005_defined,fixed_0.0005_count,fixed_0.0005_jaccard,fixed_0.001_defined,fixed_0.001_count,fixed_0.001_jaccard
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,sampled_pg,teacher_topk,1e-05,0.5973437911771237,0.8927135577373668,0.01576405592726368,667131,674152,588958,752325,0.7828504967932742,0.00022114189603583941,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,sampled_pg,full_vocab,0.0,0.45760540567593777,0.8719067529633274,0.017245924720737764,2973985,3000873,2577233,3397625,0.7585395680806446,0.0009582376818476462,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,sampled_pg,full_vocab,1e-05,0.45760540567593777,0.8719067529633274,0.017245924720737764,667131,675333,573886,768578,0.7466854372620606,0.00022144897785927534,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,sampled_pg,sampled_pg_draw1,0.0,0.046181254612381525,0.8317904531310394,0.019708004227228217,2973985,2955717,2436900,3492802,0.6976919962826407,0.0009509586603092664,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,sampled_pg,sampled_pg_draw1,1e-05,0.046181254612381525,0.8317904531310394,0.019708004227228217,667131,664197,538137,793191,0.6784456707148719,0.00021967545356899217,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,sampled_pg,sampled_pg_draw2,0.0,0.7616221076575713,0.9323997499858747,0.01250784732708911,2973985,2997714,2772673,3199026,0.8667241216545286,0.0009574537551191123,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,sampled_pg,sampled_pg_draw2,1e-05,0.7616221076575713,0.9323997499858747,0.01250784732708911,667131,672856,619699,720288,0.8603489159891599,0.00022084337543560274,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,sampled_pg,sampled_pg_draw3,0.0,-0.302747752714087,0.7851045814281501,0.022331425772128804,2973985,2983631,2308693,3648923,0.6327053215428223,0.0009557757960604756,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,sampled_pg,sampled_pg_draw3,1e-05,-0.302747752714087,0.7851045814281501,0.022331425772128804,667131,671402,505848,832685,0.6074902273969148,0.00022091040419811814,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,student_topk,topk_intersection,0.0,0.891883552749123,0.9446620637337222,0.011352725556534748,3000684,2999783,2816372,3184095,0.8845125538025719,0.0009628257237918856,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,student_topk,topk_intersection,1e-05,0.891883552749123,0.9446620637337222,0.011352725556534748,674920,674231,631910,717241,0.8810288313133242,0.0002227081704659265,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,student_topk,teacher_topk,0.0,0.8869431824642243,0.9428015786762494,0.011541198388256669,3000684,2999333,2810168,3189849,0.880972108711102,0.0009627703747751562,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,student_topk,teacher_topk,1e-05,0.8869431824642243,0.9428015786762494,0.011541198388256669,674920,674152,630467,718605,0.877348473779058,0.00022269200682317457,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,student_topk,full_vocab,0.0,0.9725540649612994,0.9726849425509401,0.007984920827463651,3000684,3000873,2916515,3085042,0.9453728668847944,0.0009632766740133182,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,student_topk,full_vocab,1e-05,0.9725540649612994,0.9726849425509401,0.007984920827463651,674920,675333,655210,695043,0.942689876741439,0.00022301661777479102,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,student_topk,sampled_pg_draw1,0.0,0.06933013698709309,0.824052772490715,0.020211417052601353,3000684,2955717,2422849,3533552,0.685669547243114,0.0009559119014894801,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,student_topk,sampled_pg_draw1,1e-05,0.06933013698709309,0.824052772490715,0.020211417052601353,674920,664197,535452,803665,0.666262684078565,0.00022120798658524518,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,student_topk,sampled_pg_draw2,0.0,0.6688872053105337,0.8943935547301192,0.015675402073632272,3000684,2997714,2654185,3344213,0.7936650566216925,0.0009623990822685428,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,student_topk,sampled_pg_draw2,1e-05,0.6688872053105337,0.8943935547301192,0.015675402073632272,674920,672856,592549,755227,0.7845972138178322,0.00022237926526492313,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,student_topk,sampled_pg_draw3,0.0,-0.05435573581403732,0.8076736360492266,0.02118271499663312,3000684,2983631,2381663,3602652,0.6610860554946745,0.0009607095876983123,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,student_topk,sampled_pg_draw3,1e-05,-0.05435573581403732,0.8076736360492266,0.02118271499663312,674920,671402,524806,821516,0.6388262675346554,0.00022244161615823078,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,topk_intersection,teacher_topk,0.0,0.997230824770637,0.9910652128086124,0.004558746316373894,2999783,2999333,2970642,3028474,0.9809039139844027,0.0009623767430864147,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,topk_intersection,teacher_topk,1e-05,0.997230824770637,0.9910652128086124,0.004558746316373894,674231,674152,667445,680938,0.9801846864178531,0.0002224798126836795,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,topk_intersection,full_vocab,0.0,0.8489139183428044,0.9330564393488994,0.012493236091638198,2999783,3000873,2781367,3219289,0.8639693422988741,0.0009628555119147648,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,topk_intersection,full_vocab,1e-05,0.8489139183428044,0.9330564393488994,0.012493236091638198,674231,675333,623781,725783,0.8594593700872024,0.00022279644414014777,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,topk_intersection,sampled_pg_draw1,0.0,0.017694088713046376,0.8184401809323859,0.020519049300176905,2999783,2955717,2404470,3551030,0.6771190330692785,0.0009554979831382724,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,topk_intersection,sampled_pg_draw1,1e-05,0.017694088713046376,0.8184401809323859,0.020519049300176905,674231,664197,530734,807694,0.6570978613187668,0.00022099464076263264,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,topk_intersection,sampled_pg_draw2,0.0,0.763619925131405,0.9085154638214074,0.014581127759718239,2999783,2997714,2700982,3296515,0.8193446715698245,0.0009620123282936713,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,topk_intersection,sampled_pg_draw2,1e-05,0.763619925131405,0.9085154638214074,0.014581127759718239,674231,672856,603543,743544,0.8117112100965108,0.0002221694733761706,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,topk_intersection,sampled_pg_draw3,0.0,-0.0354275985158719,0.8073212930543067,0.021189855741686404,2999783,2983631,2379699,3603715,0.6603460595524341,0.000960338753581538,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,topk_intersection,sampled_pg_draw3,1e-05,-0.0354275985158719,0.8073212930543067,0.021189855741686404,674231,671402,524276,821357,0.6383046592407443,0.0002222365631021733,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,teacher_topk,full_vocab,0.0,0.8525638449800147,0.9337755360515275,0.012425118957676926,2999333,3000873,2783360,3216846,0.8652450257177372,0.0009628043465687814,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,teacher_topk,full_vocab,1e-05,0.8525638449800147,0.9337755360515275,0.012425118957676926,674152,675333,624276,725209,0.860822190568512,0.00022278123803619502,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,teacher_topk,sampled_pg_draw1,0.0,0.004644675841327598,0.8166871380188714,0.020616404033341355,2999333,2955717,2399209,3555841,0.6747233636149648,0.0009554529208580721,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,teacher_topk,sampled_pg_draw1,1e-05,0.004644675841327598,0.8166871380188714,0.020616404033341355,674152,664197,529385,808964,0.6543987124272527,0.00022098052768058652,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,teacher_topk,sampled_pg_draw2,0.0,0.7528058094831405,0.9067511322347329,0.014720019516456264,2999333,2997714,2695234,3301813,0.8162891114669426,0.0009619558492299219,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,teacher_topk,sampled_pg_draw2,1e-05,0.7528058094831405,0.9067511322347329,0.014720019516456264,674152,672856,602161,744847,0.8084358264180429,0.0002221532272521508,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,teacher_topk,sampled_pg_draw3,0.0,-0.03002881502814982,0.8080475457038216,0.02114841976884944,2999333,2983631,2381181,3601783,0.6611117327168239,0.0009603009961506233,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,teacher_topk,sampled_pg_draw3,1e-05,-0.03002881502814982,0.8080475457038216,0.02114841976884944,674152,671402,524692,820862,0.6391963570003241,0.00022222473691630088,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,full_vocab,sampled_pg_draw1,0.0,0.10683437724214145,0.8282935397083645,0.019977089966830456,3000873,2955717,2433571,3523019,0.690762950753317,0.0009559635442684211,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,full_vocab,sampled_pg_draw1,1e-05,0.10683437724214145,0.8282935397083645,0.019977089966830456,675333,664197,538454,801076,0.6721634401729674,0.00022130092602698582,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,full_vocab,sampled_pg_draw2,0.0,0.636979826199315,0.8909459025243543,0.015937732723548727,3000873,2997714,2643687,3354900,0.7880076902441205,0.0009624195852752049,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,full_vocab,sampled_pg_draw2,1e-05,0.636979826199315,0.8909459025243543,0.015937732723548727,675333,672856,590155,758034,0.7785336805473105,0.0002224652437367809,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,full_vocab,sampled_pg_draw3,0.0,-0.004011684068323788,0.8118865921798544,0.0209603569717074,3000873,2983631,2391320,3593184,0.665515598421901,0.000960779524216625,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,full_vocab,sampled_pg_draw3,1e-05,-0.004011684068323788,0.8118865921798544,0.0209603569717074,675333,671402,527676,819059,0.6442466293636966,0.00022254074401289683,,,,,,,,,
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,sampled_pg_draw1,sampled_pg_draw2,0.0,0.09057195835908592,0.8324849142337382,0.019699445716021353,2955717,2997714,2443910,3509521,0.696365686371445,0.0009550389728859839,,,,,,,,,
