job,kind,state,source,branch,gradient_l2,clip_coefficient,master_update_l2,bf16_l2,bf16_nonzero_fraction,bf16_fraction_above_1e5
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,zero_gradient,0.0,1.0,0.0024014030993843487,0.03320595144472139,0.0016236554866644766,0.00036317452521173946
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,sampled_pg,127.01623874349164,0.0078730090106548,0.002590333764719952,0.03396010467046081,0.0017284832346649217,0.0003877372444128817
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,student_topk,65.79871704961556,0.01519786448188777,0.002615394141536545,0.034144722593946936,0.0017440007217680237,0.00039226421946985236
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,topk_intersection,52.754911238526965,0.018955580770916323,0.002615605632991004,0.034105029238519075,0.0017434770596128908,0.0003918637719394566
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,teacher_topk,50.397003716088705,0.019842449082708297,0.002615871340834729,0.034100264016240264,0.0017432155191358543,0.0003918178570557102
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,full_vocab,64.04985712380429,0.015612837081809985,0.002615797578022749,0.03418037839694058,0.001744110568768379,0.0003925042555076658
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,sampled_pg_draw1,292.247252119128,0.0034217601340203957,0.002566953811911958,0.033996495934529886,0.0017178658536993623,0.00038603200050260405
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,sampled_pg_draw2,97.23288357985163,0.010284586375494795,0.0026162394501259545,0.03407091054411021,0.0017422745546195832,0.00039106462048184526
density-m-pg500-draw42,density,m-pg500,raw/density-m-pg500-draw42/measurements.json,sampled_pg_draw3,428.38895304189697,0.002334327228946708,0.0025952796213238195,0.03416413865376754,0.0017340895000904628,0.00039021955414048754
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,zero_gradient,0.0,1.0,0.0024014030993843487,0.03320595144472139,0.0016236554866644766,0.00036317452521173946
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,sampled_pg,13.020052267591385,0.07680460129062074,0.0025162372125739616,0.03380281035956203,0.0016899815704398574,0.0003798265167841195
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,student_topk,47.66669572564762,0.02097900774949103,0.0025223446318148155,0.03384319632400728,0.001692138407573818,0.0003805878901728256
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,topk_intersection,47.66208497394,0.020981037224152673,0.0025223049906218436,0.033842779395005664,0.0016921372451716979,0.00038058149696116466
density-m-pg500-draw43,density,m-pg500,raw/density-m-pg500-draw43/measurements.json,teacher_topk,47.66153005514083,0.020981281504429114,0.0025222845094565365,0.033841535858032276,0.001692110509922934,0.0003805780097548042
