geometry_id,seed,raw_proposal_adamw_mse_ratio,adamw_proposal_adamw_mse_ratio,adamw_vs_raw_mse_ratio,proposal_l1_distance,metric_squared_min,metric_squared_max,raw_scale_task_1,adamw_scale_task_1,raw_prob_task_1,adamw_prob_task_1,raw_scale_task_2,adamw_scale_task_2,raw_prob_task_2,adamw_prob_task_2,raw_scale_task_3,adamw_scale_task_3,raw_prob_task_3,adamw_prob_task_3,raw_scale_task_4,adamw_scale_task_4,raw_prob_task_4,adamw_prob_task_4
0,20260902,0.9841872977091094,0.9375023351335506,0.952564961278989,0.1918865365865839,0.04304275664924468,27.6634132716995,11.353893014656217,21.948272679821937,0.26530836519187884,0.3461210567438991,11.229042535116283,15.141273056283865,0.2623909626254284,0.23877566618292148,10.074622690692749,15.887655785548292,0.23541543614532925,0.2505460128866009,10.137522896327205,10.434926264786354,0.23688523603736356,0.16455726418657846
1,20260902,0.9342707689194231,0.8817851337366991,0.9438218159780073,0.22235578985465373,0.030278375802248063,31.60185389523021,10.379313842130538,19.88992591695169,0.28723934219269026,0.3778217281296494,9.856231000922048,15.443494253837422,0.27276343622180305,0.2933589452121707,6.509988182192883,7.709024225187317,0.18015879966410536,0.14643779303729007,9.38918919942711,9.60123498004523,0.2598384219214013,0.18238153362088966
2,20260902,1.041858276718287,0.9276046566104703,0.8903366967840385,0.33946756709082127,0.022832954403923612,54.13073783375959,5.795706290277559,18.199144173351254,0.16881880383997996,0.21925383920169456,11.828314945261983,20.824570227186474,0.3445381598876806,0.25088360906122564,8.26739974197714,29.891200785158517,0.24081491804525162,0.3601136662289477,8.439507559159813,14.089990177030916,0.24582811822708783,0.16974888550813214
3,20260902,0.9891318029235926,0.8991096207428463,0.9089886889546304,0.25565682204446816,0.06054656464541659,33.564726590213304,10.095647533107993,22.698571278427718,0.22222264349693063,0.35005105451916463,12.560779166595697,15.190887314336063,0.27648444952423545,0.23426964006844211,14.627739888762978,18.94862137076024,0.321981825911239,0.29222036978260657,8.146161186602912,8.005522092201286,0.17931108106759497,0.12345893562978655
4,20260902,1.012484637864758,0.8169974209313773,0.8069232760453074,0.42872174532969914,0.023029885466242284,41.00568521279574,8.859103357303942,17.806621205581827,0.230102279342275,0.25183440015398334,9.594249975455877,31.240439680453395,0.24919663976059672,0.44182539161373785,11.201851791264593,11.886325886763037,0.2909517505402208,0.16810520733654957,8.845514567352952,9.77427347812069,0.2297493303569075,0.13823500089572907
5,20260902,0.9433215528649266,0.8447882094597222,0.8955463880731311,0.31036850115334214,0.02325586405284727,52.618068108063014,13.576892637180213,33.75535646556564,0.30303143878349087,0.24753161935992044,9.076549121785675,14.032379719853832,0.2025853641967807,0.10290093304368014,12.72886296640188,55.32773969494337,0.28410371665042256,0.40572420013352056,9.421273054166173,33.25238109424073,0.21027948036930577,0.2438432474628789
6,20260902,0.9339669405585397,0.8763783878838837,0.9383398381957542,0.2077406508649809,0.019130525164509863,41.39802924469735,8.001186283146206,31.739794999553272,0.18423967883544684,0.23724798490515026,12.375764051306529,36.69019911229285,0.284971092219016,0.27425116656496135,14.09802256983115,50.23435812282527,0.3246287561073035,0.3754907754700906,8.95316556035403,15.118849389749457,0.20616047283823352,0.11301007305979777
7,20260902,0.9181750460139555,0.8430220010039379,0.9181495453004553,0.22407197940632176,0.02029505832495351,26.0821415180879,11.72480858645461,26.49804713248976,0.3270958897052,0.35651103586519245,6.82561352466179,5.825921460269184,0.19041932430456887,0.07838333460140788,9.100735116358635,24.170102798613907,0.25389011922085664,0.3251903184645134,8.194015260084406,17.831950713899275,0.22859466676937465,0.2399153110688862
8,20260902,0.8842241693198973,0.8080227990195843,0.9138212085302718,0.28916624005762714,0.02318146506083237,23.1847731601753,11.300621811513237,9.881804017053886,0.27005404847913517,0.22681913005538334,14.774252189002986,19.61240783584796,0.3530643431343812,0.45016773009678285,6.427113025698127,8.760003653489617,0.15359047684034868,0.20107020990676058,9.343791162096501,5.3126741763306455,0.2232911315461349,0.12194292994107316
9,20260902,0.9860051296402224,0.9796264700564853,0.9935308048690735,0.07973532688963308,0.040896478848794736,29.561854767417355,12.251684833137698,33.4317585720724,0.2764130808646697,0.29508688548122414,12.034171917533229,28.608503392773166,0.27150572192188416,0.25251421178617217,9.540183853146516,22.02018498515645,0.2152382832874629,0.1943621299783584,10.497783705843402,29.234179876779148,0.23684291392598308,0.25803677275424525
